id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
71980597,Wed Mar 24 2021 18:38:38 GMT-0400 (EDT),2021-03-24,2021-03-24 22:38:38 UTC,25.3893583333,-80.6269833333,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017,Rodentia,Sciurus
72189533,Fri Mar 26 2021 11:08:02 GMT-0400 (EDT),2021-03-26,2021-03-26 15:08:02 UTC,25.1448477821,-80.8667557963,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
72199791,Sat Mar 27 2021 08:28:12 GMT-0400 (EDT),2021-03-27,2021-03-27 12:28:12 UTC,25.0822906273,-80.9845929504,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
72240511,2021-03-24 2:43:11 PM EDT,2021-03-24,2021-03-24 18:43:11 UTC,25.0820040048,-80.8443591663,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
72286028,Fri Mar 26 2021 18:12:39 GMT-0400 (EDT),2021-03-26,2021-03-26 22:12:39 UTC,25.1045760196,-80.8723563804,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
72341006,Mon Mar 08 2021 15:55:36 GMT-0500 (EST),2021-03-08,2021-03-08 20:55:36 UTC,25.4161983552,-80.6983379949,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
72346672,Fri Apr 12 2019 10:07:12 GMT-0700 (PDT),2019-04-12,2019-04-12 17:07:12 UTC,25.0726261903,-80.8698898868,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
72517874,2017/08/09 1:25 AM UTC,2017-08-09,2017-08-09 01:25:00 UTC,25.1003964221,-80.9327699628,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
72574552,Wed Mar 31 2021 15:59:19 GMT-0400 (EDT),2021-03-31,2021-03-31 19:59:19 UTC,25.0376183517,-80.8289871561,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
72597087,Wed Mar 31 2021 12:22:00 GMT-0400 (EDT),2021-03-31,2021-03-31 16:22:00 UTC,25.0620202336,-80.9389314515,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
72605837,2021-04-01 9:59:27 AM EDT,2021-04-01,2021-04-01 13:59:27 UTC,25.4328571655,-80.7469200343,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Artiodactyla,Odocoileus
73167367,2019/01/01 2:00 PM CST,2019-01-01,2019-01-01 20:00:00 UTC,25.1586849483,-80.8889437941,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
74696235,2021/04/17 3:04 PM EDT,2021-04-17,2021-04-17 19:04:00 UTC,25.1178598157,-80.8224026054,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
75163305,2021-04-16 8:59:44 AM EDT,2021-04-16,2021-04-16 12:59:44 UTC,25.1784152324,-80.8352947211,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
75265890,Sun Apr 25 2021 15:37:24 GMT-0400 (EDT),2021-04-25,2021-04-25 19:37:24 UTC,25.1598744701,-80.8291889572,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
75414972,2021/04/12 12:02 PM EDT,2021-04-12,2021-04-12 16:02:00 UTC,25.8368288384,-81.4485273346,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
76402955,2021/04/06 4:41 PM UTC,2021-04-06,2021-04-06 16:41:00 UTC,25.1563286358,-80.8468827069,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
76403941,2021/04/06 4:14 PM UTC,2021-04-06,2021-04-06 16:14:00 UTC,25.1083488372,-80.821253511,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
76862066,2021/05/02 5:40 PM EDT,2021-05-02,2021-05-02 21:40:00 UTC,25.3814069999,-80.633987,Ursus americanus americanus,Eastern Black Bear,Mammalia,132830,Carnivora,Ursus
76862087,2021/05/02 5:58 PM EDT,2021-05-02,2021-05-02 21:58:00 UTC,25.382996,-80.633156,Odocoileus virginianus seminolus,Florida White-tailed Deer,Mammalia,334689,Artiodactyla,Odocoileus
77417433,2005/04/03 12:18 AM PST,2005-04-04,2005-04-04 07:18:00 UTC,25.3993674498,-80.6013462306,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Artiodactyla,Odocoileus
77643601,Tue Jun 26 2018 08:19:28 GMT-0400 (EDT),2018-06-26,2018-06-26 12:19:28 UTC,25.4937666667,-80.672775,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Artiodactyla,Odocoileus
77697876,2019/11/09 4:31 PM EST,2019-11-09,2019-11-09 21:31:00 UTC,25.1672213301,-80.9183981488,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
77698118,2020/05/09 6:55 AM EDT,2020-05-09,2020-05-09 10:55:00 UTC,25.7614902,-80.8270097,Sciurus niger avicennia,Big Cypress Fox Squirrel,Mammalia,238456,Rodentia,Sciurus
77877694,2021/05/05 12:59 PM EDT,2021-05-05,2021-05-05 16:59:00 UTC,25.0087778749,-80.9157897306,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
78287024,Thu Apr 22 2021 13:29:03 GMT-0400 (EDT),2021-04-22,2021-04-22 17:29:03 UTC,25.1862257661,-80.8775868829,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
79287736,2021-05-07 07:06:18,2021-05-07,2021-05-07 14:06:18 UTC,25.0338952949,-80.9638514006,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
80476968,2006/03/27 8:12 AM EST,2006-03-27,2006-03-27 13:12:00 UTC,25.3873517758,-80.6835182433,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Artiodactyla,Odocoileus
80564388,Wed May 26 2021 19:24:15 GMT-0400 (EDT),2021-05-26,2021-05-26 23:24:15 UTC,25.1198446088,-80.9383460506,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
80831303,2021-04-04 11:59:59,2021-04-04,2021-04-04 15:59:59 UTC,25.0942940827,-80.8611761034,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
80847394,Wed May 26 2021 19:24:47 GMT-0500 (CDT),2021-05-26,2021-05-26 23:24:47 UTC,25.0373370277,-80.9975400284,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
80847531,Wed May 26 2021 19:25:36 GMT-0500 (CDT),2021-05-26,2021-05-26 23:25:36 UTC,25.0714422653,-80.8325173637,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
81032535,2021/05/30 10:22 PM ,2021-05-30,2021-05-30 12:22:00 UTC,25.2773327517,-80.8066013069,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Artiodactyla,Odocoileus
81618924,2021-06-04 14:28:11,2021-06-04,2021-06-04 18:28:11 UTC,25.1802041899,-80.9599685077,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
81698422,2018/06/30 10:18 AM EDT,2018-06-30,2018-06-30 14:18:00 UTC,25.3991904408,-80.6572893319,Sigmodon hispidus,Hispid Cotton Rat,Mammalia,44902,Rodentia,Sigmodon
82273702,Mon Jun 07 2021 15:23:23 GMT-0400 (EDT),2021-06-07,2021-06-07 19:23:23 UTC,25.2787853216,-80.8951251959,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
82531529,Tue Dec 27 2016 03:42:04 GMT+0800 (GMT+8),2016-12-27,2016-12-26 19:42:04 UTC,25.3013814924,-80.8464394404,Dasypus novemcinctus,Nine-banded Armadillo,Mammalia,47075,Cingulata,Dasypus
82929086,2021/06/12 7:07 AM UTC,2021-06-12,2021-06-12 07:07:00 UTC,25.4019549911,-80.6552790846,Sigmodon hispidus,Hispid Cotton Rat,Mammalia,44902,Rodentia,Sigmodon
83464592,2008/12/30 10:35 AM MST,2008-12-30,2008-12-30 17:35:00 UTC,25.6735348311,-80.7174178924,Odocoileus virginianus,White-tailed Deer,Mammalia,42223,Artiodactyla,Odocoileus
83570732,Fri Jun 18 2021 10:04:57 GMT-0400 (EDT),2021-06-18,2021-06-18 14:04:57 UTC,25.1177007327,-80.8526839643,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
