id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
17841422,2018/05/17 10:44 PM EDT,2018-05-17,2018-05-18 02:44:00 UTC,25.40772,-80.61724,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
17841433,2018/05/17 10:44 PM EDT,2018-05-17,2018-05-18 02:44:00 UTC,25.40772,-80.61724,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
17841625,2018/05/17 23:14 EDT,2018-05-17,2018-05-18 03:14:00 UTC,25.433722,-80.70462,Pseudacris nigrita,Southern Chorus Frog,Amphibia,24261,Anura,Pseudacris
17841636,2018/05/17 23:14 EDT,2018-05-17,2018-05-18 03:14:00 UTC,25.433722,-80.70462,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
17841774,2018/05/17 22:59 PM EDT,2018-05-17,2018-05-18 02:59:00 UTC,25.41935,-80.67307,Pseudacris nigrita,Southern Chorus Frog,Amphibia,24261,Anura,Pseudacris
17841904,2018/05/17 10:28 PM EDT,2018-05-17,2018-05-18 02:28:00 UTC,25.39547,-80.579,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
17841914,2018/05/17 10:28 PM EDT,2018-05-17,2018-05-18 02:28:00 UTC,25.39547,-80.579,Pseudacris ocularis,Little Grass Frog,Amphibia,24262,Anura,Pseudacris
17885905,Sat Oct 27 2018 11:34:08 GMT-0400 (EDT),2018-10-27,2018-10-27 15:34:08 UTC,25.3991533333,-80.6595833333,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
17961344,Sat Oct 27 2018 11:34:39 GMT-0400 (EDT),2018-10-27,2018-10-27 15:34:39 UTC,25.3991916667,-80.659605,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
18277402,Sat Oct 20 2018 10:47:58 GMT-0400 (EDT),2018-10-20,2018-10-20 14:47:58 UTC,25.403375,-80.6569966667,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
18402027,2018/11/10 8:10 PM EST,2018-11-10,2018-11-11 01:10:00 UTC,25.2226713215,-80.8702220776,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
18402494,2018/11/10 9:51 PM EST,2018-11-10,2018-11-11 02:51:00 UTC,25.5458439515,-80.7634157484,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
18402500,2018/11/10 9:57 PM EST,2018-11-10,2018-11-11 02:57:00 UTC,25.4392967007,-80.6934266011,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
18402501,2018/11/10 9:54 PM EST,2018-11-10,2018-11-11 02:54:00 UTC,25.4771181324,-80.7205304968,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
18530625,2018/11/12 3:35 PM EST,2018-11-12,2018-11-12 20:35:00 UTC,25.7394229531,-80.7665954623,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
18721615,2003/12/31 11:08 AM CET,2003-12-31,2003-12-31 10:08:00 UTC,25.7142824105,-80.7701955421,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
19110606,Wed Dec 19 2018 17:42:27 GMT-0500 (EST),2018-12-19,2018-12-19 22:42:27 UTC,25.4017033333,-80.660575,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
