id,observed_on,time_observed_at,time_zone,user_name,created_at,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
80054819,2021-05-22,2021-05-23 02:22:00 UTC,Eastern Time (US & Canada),Joshua Doby,2021-05-24 02:23:20 UTC,research,6,0,false,25.3258983333,-80.7985883333,Python bivittatus,Burmese Python,Reptilia,238252
86714824,2004-12-29,2004-12-29 18:07:00 UTC,Eastern Time (US & Canada),Keith Bradley,2021-07-12 14:18:22 UTC,research,9,0,false,25.7547766667,-80.6735983333,Python bivittatus,Burmese Python,Reptilia,238252
93307545,2013-01-01,2013-01-02 02:42:00 UTC,Arizona,Mike Ostrowski,2021-09-01 22:47:40 UTC,research,5,0,false,25.1529755169,-80.9170353141,Python bivittatus,Burmese Python,Reptilia,238252
100735464,2018-06-30,2018-06-30 21:35:00 UTC,UTC,"",2021-11-10 01:30:25 UTC,research,7,0,false,25.1392846173,-80.9553949036,Python bivittatus,Burmese Python,Reptilia,238252
102220803,2021-11-24,2021-11-25 01:37:00 UTC,Alaska,"",2021-11-30 04:29:27 UTC,research,7,0,false,25.1545539096,-80.915396464,Python bivittatus,Burmese Python,Reptilia,238252
103399493,2021-12-19,2021-12-20 00:28:40 UTC,Eastern Time (US & Canada),"",2021-12-21 03:23:04 UTC,research,4,0,false,25.524329283,-80.6338770532,Python bivittatus,Burmese Python,Reptilia,238252
103399684,2021-12-20,2021-12-20 15:56:15 UTC,Eastern Time (US & Canada),"",2021-12-21 03:27:30 UTC,research,7,0,false,25.2296642835,-80.726146968,Python bivittatus,Burmese Python,Reptilia,238252
103601003,2021-12-24,2021-12-24 21:15:41 UTC,Eastern Time (US & Canada),,2021-12-24 21:17:23 UTC,research,6,0,false,25.7879166667,-81.3061216667,Python bivittatus,Burmese Python,Reptilia,238252
104177685,2019-08-02,2019-08-03 01:53:28 UTC,Eastern Time (US & Canada),Tommy Hamrick,2022-01-02 12:51:43 UTC,research,5,0,false,25.3984189683,-80.8794737802,Python bivittatus,Burmese Python,Reptilia,238252
104234260,2011-09-05,2011-09-05 13:56:00 UTC,Eastern Time (US & Canada),Jake Scott,2022-01-03 01:03:24 UTC,research,6,0,false,25.5276946288,-80.6755173732,Python bivittatus,Burmese Python,Reptilia,238252
106662800,2007-04-13,2007-04-14 00:07:00 UTC,Eastern Time (US & Canada),Richard Gary,2022-02-13 07:30:36 UTC,research,5,0,false,25.4339678509,-80.6917769018,Python bivittatus,Burmese Python,Reptilia,238252
106864401,2022-02-12,2022-02-13 00:03:02 UTC,Eastern Time (US & Canada),Dom Kemmett,2022-02-16 17:00:16 UTC,research,9,0,false,25.2904217122,-80.6410077778,Python bivittatus,Burmese Python,Reptilia,238252
115186699,2022-04-28,2022-04-29 02:52:00 UTC,Eastern Time (US & Canada),Adam Cushen,2022-05-03 19:06:39 UTC,research,4,0,false,25.4499949414,-80.6906039689,Python bivittatus,Burmese Python,Reptilia,238252
115402204,2022-04-27,2022-04-28 02:56:00 UTC,Eastern Time (US & Canada),Adam Cushen,2022-05-04 17:20:30 UTC,research,4,0,false,25.5511594132,-80.6338323375,Python bivittatus,Burmese Python,Reptilia,238252
119013803,2012-07-23,2012-07-24 01:39:00 UTC,Eastern Time (US & Canada),,2022-05-28 04:09:08 UTC,research,5,0,false,25.1386691545,-80.9374275531,Python bivittatus,Burmese Python,Reptilia,238252
120073838,2022-03-16,2022-03-17 00:33:34 UTC,Eastern Time (US & Canada),Valentina Forrester,2022-06-03 22:07:47 UTC,research,5,0,false,25.4336735011,-80.7288189371,Python bivittatus,Burmese Python,Reptilia,238252
121092565,2022-06-07,2022-06-07 04:03:08 UTC,Eastern Time (US & Canada),,2022-06-10 14:35:05 UTC,research,4,0,false,25.70575,-80.7668,Python bivittatus,Burmese Python,Reptilia,238252
121093106,2022-06-08,2022-06-09 02:09:08 UTC,Eastern Time (US & Canada),,2022-06-10 14:40:06 UTC,research,4,0,false,25.3745116667,-80.814925,Python bivittatus,Burmese Python,Reptilia,238252
121853022,2010-02-12,2010-02-12 22:05:38 UTC,Eastern Time (US & Canada),Leif-Erik Hvide,2022-06-15 10:04:09 UTC,research,3,0,false,25.4195527168,-80.9140359936,Python bivittatus,Burmese Python,Reptilia,238252
122230100,2022-06-14,2022-06-15 02:29:13 UTC,Eastern Time (US & Canada),,2022-06-17 23:17:41 UTC,research,1,0,false,25.295975,-80.7983866667,Python bivittatus,Burmese Python,Reptilia,238252
122230170,2022-06-14,2022-06-15 03:27:56 UTC,Eastern Time (US & Canada),,2022-06-17 23:18:33 UTC,research,1,0,false,25.2047783333,-80.8685216667,Python bivittatus,Burmese Python,Reptilia,238252
122230351,2022-06-16,2022-06-17 02:20:26 UTC,Eastern Time (US & Canada),,2022-06-17 23:20:31 UTC,research,1,0,false,25.1476333333,-80.92408,Python bivittatus,Burmese Python,Reptilia,238252
123038865,2021-10-16,2021-10-17 00:03:02 UTC,Eastern Time (US & Canada),BaylenHerps,2022-06-23 03:10:48 UTC,research,4,0,false,25.1661611667,-80.9107966667,Python bivittatus,Burmese Python,Reptilia,238252
123156271,2022-06-22,2022-06-23 02:13:23 UTC,Eastern Time (US & Canada),,2022-06-23 23:50:54 UTC,research,3,0,false,25.2013633333,-80.8739916667,Python bivittatus,Burmese Python,Reptilia,238252
124959531,2022-07-01,2022-07-02 01:35:15 UTC,Eastern Time (US & Canada),,2022-07-06 00:56:26 UTC,research,4,0,false,25.4214616667,-80.777175,Python bivittatus,Burmese Python,Reptilia,238252
124959950,2022-07-02,2022-07-02 04:47:43 UTC,Eastern Time (US & Canada),,2022-07-06 01:00:28 UTC,research,4,0,false,25.2090083333,-80.86155,Python bivittatus,Burmese Python,Reptilia,238252
124960145,2022-07-02,2022-07-02 05:41:38 UTC,Eastern Time (US & Canada),,2022-07-06 01:02:23 UTC,research,5,0,false,25.2383366667,-80.8134916667,Python bivittatus,Burmese Python,Reptilia,238252
125717331,2022-07-10,2022-07-10 05:50:07 UTC,Eastern Time (US & Canada),,2022-07-11 01:29:35 UTC,research,5,0,false,25.246975,-80.8002466667,Python bivittatus,Burmese Python,Reptilia,238252
128024082,2022-07-21,2022-07-22 03:40:49 UTC,Eastern Time (US & Canada),,2022-07-26 17:45:46 UTC,research,4,0,false,25.2454083333,-80.8020633333,Python bivittatus,Burmese Python,Reptilia,238252
130008270,2022-08-07,2022-08-08 01:48:00 UTC,Eastern Time (US & Canada),Tom Bisko,2022-08-08 18:10:00 UTC,research,5,0,false,25.2350999722,-80.8188999722,Python bivittatus,Burmese Python,Reptilia,238252
130572390,2022-08-09,2022-08-10 01:09:53 UTC,Eastern Time (US & Canada),,2022-08-13 01:00:34 UTC,research,6,0,false,25.3602,-80.820945,Python bivittatus,Burmese Python,Reptilia,238252
130572615,2022-08-09,2022-08-10 03:22:48 UTC,Eastern Time (US & Canada),,2022-08-13 01:02:24 UTC,research,5,0,false,25.1641221667,-80.9116133333,Python bivittatus,Burmese Python,Reptilia,238252
138890885,2018-12-28,2018-12-29 00:53:06 UTC,Eastern Time (US & Canada),,2022-10-15 20:56:13 UTC,research,2,0,false,25.3781971857,-80.9379870331,Python bivittatus,Burmese Python,Reptilia,238252
140727194,2022-10-31,2022-11-01 00:01:43 UTC,Eastern Time (US & Canada),Ty Williams,2022-11-01 01:55:25 UTC,research,1,0,false,25.2637342176,-80.7984886551,Python bivittatus,Burmese Python,Reptilia,238252
140841909,2022-11-01,2022-11-01 22:18:42 UTC,Eastern Time (US & Canada),Ty Williams,2022-11-02 02:55:34 UTC,research,1,0,false,25.4093573909,-80.6492097998,Python bivittatus,Burmese Python,Reptilia,238252
142878107,2022-11-25,2022-11-25 22:37:46 UTC,Eastern Time (US & Canada),,2022-11-26 02:07:46 UTC,research,4,0,false,25.1375146986,-80.6842703533,Python bivittatus,Burmese Python,Reptilia,238252
