LT_ND_Grahl_002,,,,,,,,,,,,
SITENAME,DATE,TIME,Salinity,TN,TP,TOC,NH4,NandN,NO2,SRP,DOC,NO3
SRS2,2015-01-13,11:06,-9999,61.742,0.11,-9999,3.37,0.27,0.09,0.02,1756.667,0.17
SRS3,2015-01-13,9:50,-9999,52.532,0.12,-9999,3.73,3.99,0.13,0.03,1634.167,3.86
SRS1d,2015-02-02,11:50,-9999,69.789,0.38,-9999,9.66,5.91,0.13,0.05,1959.167,5.77
SRS2,2015-02-02,10:20,-9999,76.428,0.31,-9999,18.54,6.13,0.15,0.02,1745,5.98
SRS3,2015-02-02,9:40,-9999,68.202,0.29,-9999,9.12,5.83,0.13,0.03,1714.167,5.7
SRS4,2015-02-09,10:30,5.7,52.98,0.47,-9999,2.21,1.25,0.2,0.04,1495.833,1.04
SRS5,2015-02-09,11:40,17.7,41.19,0.5,-9999,1.81,1.84,0.06,0.03,1153.333,1.78
SRS6,2015-02-09,12:15,26.1,30.569,0.57,-9999,1.8,1.59,0.08,0.07,771.75,1.51
SRS1d,2015-03-02,12:45,-9999,96.712,0.56,-9999,8.15,0.15,0.11,0.04,2345.25,0.04
SRS2,2015-03-02,11:00,-9999,88.238,0.29,-9999,13,0.31,0.17,0.07,2188.25,0.14
SRS3,2015-03-02,9:40,-9999,67.099,0.37,-9999,8.48,1.98,0.24,0.09,1973.333,1.74
SRS4,2015-03-16,10:05,8,59.547,0.58,-9999,1.86,0.48,0.18,0.09,1595.833,0.3
SRS5,2015-03-16,10:40,20.2,40.508,0.62,-9999,2.47,3.14,0.29,0.12,1087.083,2.85
SRS6,2015-03-16,11:30,30.4,30.379,0.66,-9999,1.45,3.43,0.46,0.18,604,2.96
SRS4,2015-04-06,10:10,13.7,47.261,0.8,-9999,4.29,0.56,0.16,0.01,1412.917,0.39
SRS5,2015-04-06,10:35,27,33.438,0.72,-9999,3.54,1.72,0.21,0.07,619.75,1.51
SRS6,2015-04-06,11:30,31.9,25.961,0.78,-9999,2.67,1.62,0.26,0.08,2076,1.37
SRS2,2015-04-09,10:20,-9999,140.933,0.34,-9999,6.37,0.29,0.16,0.05,940,0.13
SRS3,2015-04-09,9:30,-9999,231.05,0.84,-9999,121.35,1.99,0.37,0.04,3016,1.62
SRS4,2015-05-04,10:00,16.2,41.571,0.51,-9999,3.15,0.7,0.19,0.14,1284.167,0.52
SRS5,2015-05-04,10:34,16.8,36.284,0.48,-9999,1.88,1.64,0.34,0.1,1296.667,1.3
SRS6,2015-05-04,12:00,24.8,28.044,0.51,-9999,2.82,0.71,0.19,0.19,920.833,0.53
SRS2,2015-05-27,10:05,-9999,94.343,0.52,-9999,3.14,0.05,0.09,0.05,2360,0
SRS3,2015-05-27,8:40,-9999,97.989,1,-9999,18.97,0.05,0.1,0.01,2056.667,0.28
SRS4,2015-06-02,10:30,14.9,32.169,1.22,-9999,1.65,0.05,0.05,0.05,1352.5,0.41
SRS5,2015-06-02,10:50,24.3,24.738,0.77,-9999,1.14,2.53,0.43,0.05,1069.167,2.1
SRS6,2015-06-02,11:30,32.6,16.958,1.31,-9999,0.05,1.26,0.3,0.05,653.917,0.96
SRS2,2015-06-23,9:50,-9999,96.604,0.22,-9999,5.81,0.2,0.17,0.02,2091.667,0.04
SRS3,2015-06-23,9:20,-9999,75.945,0.43,-9999,5.94,0.73,0.2,0.03,1984.167,0.53
SRS4,2015-07-01,9:50,8.2,43.391,0.56,-9999,8.37,0.35,0.13,0.04,1384.167,0.23
SRS5,2015-07-01,10:30,14.7,32.698,0.59,-9999,3.3,2.68,0.33,0.1,1280.833,2.35
SRS6,2015-07-01,11:15,29.6,19.462,0.63,-9999,2.56,2,0.38,0.08,679,1.62
SRS2,2015-07-13,10:15,-9999,62.7,0.26,-9999,5.95,0.14,0.1,0.03,1510.833,0.04
SRS3,2015-07-13,9:40,-9999,43.445,0.38,-9999,1.97,0.61,0.12,0.03,1508.333,0.48
SRS2,2015-08-11,11:03,-9999,84.337,0.25,-9999,13.56,0.27,0.1,0.02,2075.833,0.17
SRS3,2015-08-11,10:10,-9999,32.208,0.25,-9999,0.97,0.32,0.11,0.02,1388.333,0.22
SRS4,2015-08-12,10:20,8.2,33.956,0.51,-9999,1.44,0.61,0.16,0.01,1468.75,0.45
SRS5,2015-08-12,11:15,24,24.256,0.61,-9999,1.39,2.41,0.42,0.1,1071.667,1.99
SRS6,2015-08-12,11:45,31.9,18.118,0.67,-9999,1.69,3.08,0.43,0.12,622.667,2.64
SRS4,2015-09-15,9:40,2,49.022,0.47,-9999,2.55,0.47,0.15,0.11,1190,0.33
SRS5,2015-09-15,10:10,6.6,44.006,0.59,-9999,2.19,1.75,0.22,0.3,1192.5,1.53
SRS6,2015-09-15,10:45,22,35.617,0.64,-9999,3.14,3.29,0.92,1.08,816.167,2.37
SRS1d,2015-09-17,12:00,-9999,127.231,0.35,-9999,2.57,0.98,0.15,0.04,2320.583,0.83
SRS2,2015-09-17,10:00,-9999,75.949,0.22,-9999,5.62,0.22,0.09,0.02,1528.333,0.13
SRS3,2015-09-17,9:20,-9999,43.092,0.24,-9999,1.29,0.45,0.1,0.03,1033.333,0.35
SRS4,2015-10-01,10:20,10.5,33.293,0.52,-9999,4.77,0.45,0.12,0.09,1067.5,0.32
SRS5,2015-10-01,11:15,27.5,27.247,0.57,-9999,1.17,0.95,0.34,0.46,579.833,0.62
SRS6,2015-10-01,12:15,30.8,24.835,0.57,-9999,1.03,1.5,0.28,0.26,475.75,1.22
SRS1d,2015-10-05,8:20,-9999,88.028,0.27,-9999,2.87,0.52,0.1,0.04,1788.75,0.43
SRS2,2015-10-05,10:30,-9999,71.845,0.19,-9999,4,0.14,0.06,0.02,1355.833,0.08
SRS3,2015-10-05,11:45,-9999,49.461,0.24,-9999,1.1,0.23,0.06,0.01,1124.167,0.17
SRS1d,2015-11-03,13:00,-9999,76.296,0.33,-9999,2.22,0.27,0.1,0.05,1837.5,0.17
SRS2,2015-11-03,10:50,-9999,63.75,0.32,-9999,3.05,0.27,0.08,0.05,1655,0.2
SRS3,2015-11-03,9:40,-9999,50.661,0.32,-9999,2.85,0.6,0.08,0.04,1322.5,0.51
SRS4,2015-11-10,9:50,5.5,57.904,0.6,-9999,3.2,0.56,0.22,0.74,1345,0.34
SRS5,2015-11-10,10:25,15.4,51.4,0.63,-9999,4.85,4.47,0.85,1.96,1229.167,3.63
SRS6,2015-11-10,11:15,26.2,37.176,0.72,-9999,2.27,5.65,0.63,1,823.25,5.03
SRS4,2015-12-01,9:35,2.8,50.156,0.46,-9999,1.5,0.16,0.04,0.05,1350.833,0.12
SRS5,2015-12-01,10:35,22,37.358,0.58,-9999,2.51,2.46,0.49,0.81,1012.5,1.96
SRS6,2015-12-01,11:00,26.4,31.575,0.55,-9999,2.16,2.21,0.36,0.51,828.417,1.86
SRS1d,2015-12-03,12:00,-9999,72.467,0.18,-9999,1.6,0.18,0.07,0.03,1739.167,0.12
SRS2,2015-12-03,9:40,-9999,67.494,0.17,-9999,1.7,0.24,0.06,0.03,1550.833,0.18
SRS3,2015-12-03,8:55,-9999,51.295,0.4,-9999,1.08,0.68,0.07,0.02,1325.833,0.61
SRS4,2016-01-05,9:50,1.1,52.636,0.44,-9999,2.56,3.51,0.12,0.08,1247.5,3.39
SRS5,2016-01-05,10:30,2.9,57.171,0.47,-9999,2.57,1.76,0.14,0.05,1336.667,1.62
SRS6,2016-01-05,11:15,18.8,43.004,0.58,-9999,3.33,5.11,0.73,1.09,922.5,4.38
SRS1d,2016-01-07,13:45,-9999,62.98,0.26,-9999,0.89,0.99,0.08,0.04,1287.083,0.9
SRS2,2016-01-07,11:00,-9999,60.505,0.37,-9999,1.12,0.83,0.06,0.03,1409.583,0.77
SRS3,2016-01-07,9:30,-9999,52.091,0.27,-9999,0.98,0.34,0.05,0.02,1267.5,0.28
SRS1d,2016-02-02,12:15,-9999,48.411,0.25,-9999,1.04,0.3,0.05,0.03,1141.25,0.25
SRS2,2016-02-02,9:50,-9999,44.373,0.16,-9999,1.1,0.33,0.05,0.04,1011.667,0.29
SRS3,2016-02-02,9:00,-9999,39.631,0.16,-9999,1.62,0.4,0.04,0.04,983.333,0.36
SRS4,2016-02-11,9:50,0.5,47.175,0.3,-9999,1,0.65,0.06,0.04,974.167,0.59
SRS5,2016-02-11,11:10,2,41.915,0.35,-9999,1.14,0.72,0.1,0.03,1005,0.62
SRS6,2016-02-11,11:40,12.3,32.914,0.54,-9999,2.46,0.61,0.41,0.83,862.083,0.2
SRS1d,2016-03-02,13:00,-9999,50.754,0.29,-9999,1.34,0.38,0.04,0.03,1430.833,0.34
SRS2,2016-03-02,10:00,-9999,46.323,0.26,-9999,0.89,0.22,0.03,0.02,1196.667,0.19
SRS3,2016-03-02,9:10,-9999,48.236,0.25,-9999,1.39,0.41,0.04,0.03,1335,0.37
SRS4,2016-03-08,10:20,1.3,53.005,0.47,-9999,7.89,1.59,0.12,0.56,1265,1.47
SRS5,2016-03-08,11:05,2.5,49.156,0.53,-9999,1.35,0.58,0.1,0.17,840,0.48
SRS6,2016-03-08,11:40,17.1,32.053,0.62,-9999,4.52,1.21,0.68,1.33,1240.833,0.52
SRS1d,2016-04-05,11:50,-9999,65.55,0.25,-9999,1.55,0.49,0.06,0,1697.5,0.43
SRS2,2016-04-05,10:05,-9999,58.657,0.16,-9999,1.14,0.48,0.05,0.02,1479.167,0.43
SRS3,2016-04-05,9:10,-9999,61.725,0.19,-9999,1.33,0.34,0.07,0.02,1581.667,0.28
SRS4,2016-04-12,9:30,2.3,53.906,0.41,-9999,1.84,0.54,0.12,0.16,1480,0.42
SRS5,2016-04-12,10:20,10.3,48.911,0.57,-9999,3.15,1.25,0.37,0.69,1295.833,0.88
SRS6,2016-04-12,11:00,22.1,31.972,1.14,-9999,1.15,1.73,0.56,1.03,832.875,1.17
SRS4,2016-05-09,9:30,12.4,55.995,0.56,-9999,4.44,0.65,0.35,0.75,1439.167,0.3
SRS5,2016-05-09,10:30,21.8,42.444,0.59,-9999,2.98,1.23,0.6,1.54,1088.333,0.63
SRS6,2016-05-09,11:00,29.3,30.915,0.68,-9999,2.05,0.95,0.39,0.85,666.333,0.57
SRS1d,2016-05-10,13:10,-9999,60.177,0.29,-9999,0.97,0.22,0.1,0.02,1410.833,0.12
SRS2,2016-05-10,10:30,-9999,50.386,0.23,-9999,1.04,0.32,0.1,0.01,1427.5,0.22
SRS3,2016-05-10,9:20,-9999,69.714,0.29,-9999,1.22,0.52,0.12,0.03,1727.5,0.4
SRS1d,2016-06-06,10:55,-9999,63.744,0.27,-9999,1.72,0.33,0.13,0.04,1726.667,0.2
SRS2,2016-06-06,9:30,-9999,56.491,0.21,-9999,0.89,0.14,0.05,0.03,1476.667,0.08
SRS3,2016-06-06,8:50,0.3,75.119,0.21,-9999,1.14,0.55,0.06,0.02,1768.333,0.49
SRS4,2016-06-08,9:30,3.6,54.182,1.04,-9999,1.66,0.33,0.14,0.23,1580,0.19
SRS5,2016-06-08,10:00,23,36.03,0.84,-9999,2.02,2.02,0.55,0.88,900,1.47
SRS6,2016-06-08,11:05,26.7,33.302,1.07,-9999,2.12,2.94,0.55,0.69,717.25,2.39
SRS4,2016-07-13,9:15,1,51.346,0.33,-9999,1.56,0.32,0.12,0.07,1298.333,0.2
SRS5,2016-07-13,10:00,11.2,42.576,0.51,-9999,3.61,1.5,0.48,0.67,1140.833,1.02
SRS6,2016-07-13,11:10,24.5,29.464,0.73,-9999,2.9,2.44,0.57,0.81,695.25,1.87
SRS1d,2016-07-19,11:20,-9999,81.207,0.51,-9999,1.63,0.27,0.2,0.06,1710,0.07
SRS2,2016-07-19,9:45,-9999,73.095,0.21,-9999,0.83,0.2,0.11,0.04,1601.667,0.09
SRS3,2016-07-19,8:45,0.2,59.77,0.17,-9999,0.9,1.21,0.08,0.03,1260,1.13
SRS4,2016-08-02,9:30,1.7,51.558,0.38,-9999,0.69,0.21,0.09,0.1,1371.667,0.12
SRS5,2016-08-02,10:30,5,47.956,0.39,-9999,1.4,1.28,0.24,0.26,1407.5,1.05
SRS6,2016-08-02,11:20,23,30.095,0.52,-9999,3.14,1.58,0.6,0.82,798.333,0.98
SRS1d,2016-08-15,14:00,-9999,108.914,0.23,-9999,1.03,0.15,0.1,0.04,1311.667,0.05
SRS2,2016-08-15,10:50,-9999,107.611,0.12,-9999,1.27,0.24,0.08,0.04,1443.333,0.16
SRS3,2016-08-15,9:50,0.2,50.719,0.15,-9999,1.51,1.38,0.14,0.05,1310,1.24
SRS4,2016-09-01,9:30,4.4,51.226,0.31,-9999,1.13,0.38,0.17,0.26,1266.667,0.21
SRS5,2016-09-01,10:15,14.6,37.415,0.4,-9999,4.1,1.35,0.51,0.98,1036.667,0.84
SRS6,2016-09-01,11:00,22.1,36.978,0.57,-9999,2.78,2.86,0.55,0.84,810.417,2.31
SRS1d,2016-09-14,13:00,-9999,45.469,0.18,-9999,0.74,0.18,0.03,0.04,1028.333,0.15
SRS2,2016-09-14,10:10,-9999,52.01,0.16,-9999,1.2,0.18,0.04,0.03,1353.333,0.14
SRS3,2016-09-14,9:10,0.2,51.806,0.18,-9999,1.23,0.62,0.07,0.09,1225,0.55
SRS4,2016-10-13,9:30,0.5,44.931,0.25,-9999,1.3,0.38,0.09,0.05,1016.667,0.29
SRS5,2016-10-13,10:20,4.4,42.334,0.36,-9999,1.25,1.53,0.22,0.26,1027.5,1.31
SRS6,2016-10-13,11:15,18.3,34.826,0.58,-9999,2.96,5.73,0.78,1.1,753.417,4.95
SRS1d,2016-10-20,8:30,-9999,44.557,0.28,-9999,3.97,0.39,0.11,0.04,1064.167,0.28
SRS2,2016-10-20,12:30,-9999,42.869,0.26,-9999,1.21,0.31,0.08,0.04,1064.167,0.23
SRS3,2016-10-20,10:30,0.4,40.703,0.25,-9999,0.85,0.57,0.08,0.07,1060.833,0.49
SRS1d,2016-11-02,12:50,-9999,47.215,0.16,-9999,1.01,0.2,0.04,0.03,1093.333,0.15
SRS2,2016-11-02,10:30,-9999,46.143,0.11,-9999,1.19,0.2,0.04,0.01,1085,0.16
SRS3,2016-11-02,9:20,0.2,42.822,0.15,-9999,1.01,1.13,0.06,0.02,1083.333,1.07
SRS4,2016-11-09,9:40,0.5,52.946,0.28,-9999,1.54,1.12,0.09,0.05,1052.5,1.02
SRS5,2016-11-09,10:20,14.5,40.924,0.55,-9999,3.71,3.61,0.58,0.97,860,3.02
SRS6,2016-11-09,11:15,20.8,32.964,0.62,-9999,4.01,2.41,0.58,1.01,693.917,1.83
SRS1d,2016-12-01,12:30,-9999,65.157,0.26,-9999,2.62,0.22,0.04,0.02,1350,0.18
SRS2,2016-12-01,11:00,-9999,57.919,0.23,-9999,2.65,1.01,0.06,0.01,1287.5,0.94
SRS3,2016-12-01,9:40,0.2,55.073,0.2,-9999,1.73,2.56,0.07,0.03,1208.333,2.49
SRS4,2016-12-05,9:30,1.1,54.345,0.36,-9999,2.76,1.39,0.11,0.06,1362.5,1.27
SRS5,2016-12-05,10:00,8.9,42.569,0.41,-9999,1.73,1.19,0.31,0.5,1165.833,0.89
SRS6,2016-12-05,10:20,18.7,36.722,0.59,-9999,5.7,3.36,0.75,1.22,797,2.61
SRS1d,2017-01-05,13:45,-9999,77.943,0.62,-9999,9.06,0.22,0.21,0.24,1575,0.01
SRS2,2017-01-05,10:30,-9999,91.493,0.91,-9999,24.05,2.28,0.22,0.07,1410.833,2.06
SRS3,2017-01-05,9:30,0.3,63.529,0.48,-9999,3.11,4.91,0.19,0.02,1435.833,4.72
SRS4,2017-01-11,10:40,2.4,56.451,0.43,-9999,4.27,2.97,0.33,0.2,1439.167,2.64
SRS5,2017-01-11,11:20,8,54.581,0.54,-9999,1.61,3.35,0.43,0.55,1295.833,2.91
SRS6,2017-01-11,11:50,22.5,31.009,0.6,-9999,1.93,1.62,0.44,0.85,768.333,1.18
SRS1d,2017-02-01,13:30,-9999,94.711,0.24,-9999,22.43,0.51,0.19,0.03,1647.5,0.32
SRS2,2017-02-01,10:40,-9999,90.242,0.26,-9999,24.42,6.41,0.23,0.01,1422.5,6.18
SRS3,2017-02-01,9:15,0.3,78.081,0.31,-9999,15.52,6.19,0.17,0.28,1446.667,6.02
SRS4,2017-02-08,10:15,4,63.484,0.4,-9999,3.78,2.08,0.33,0.19,1402.5,1.75
SRS5,2017-02-08,11:20,17.1,39.045,0.47,-9999,2.26,1.88,0.64,1,1018.333,1.25
SRS6,2017-02-08,12:10,26.9,24.404,0.62,-9999,1.33,1.3,0.34,0.54,603,0.95
SRS4,2017-03-01,9:30,11.1,56.062,0.54,-9999,2.4,1.81,0.39,0.62,1392.5,1.42
SRS5,2017-03-01,10:30,18.7,44.022,0.57,-9999,2.48,1.21,0.58,0.94,1150,0.62
SRS6,2017-03-01,11:30,28.8,28.843,0.61,-9999,1.36,0.87,0.29,0.39,664.667,0.58
SRS1d,2017-03-07,12:00,-9999,112.372,0.51,-9999,8.33,0.47,0.06,0.02,2203.333,0.41
SRS2,2017-03-07,10:50,-9999,121.143,0.42,-9999,15.12,0.29,0.06,0.03,2195.833,0.23
SRS3,2017-03-07,9:50,0.5,110.198,0.6,-9999,27.79,1.58,0.1,0.03,1804.167,1.48
SRS4,2017-04-04,9:15,19.1,43.393,0.57,-9999,3.19,0.78,0.57,1.46,1177.5,0.21
SRS5,2017-04-04,10:10,31.1,29.317,0.54,-9999,1.49,0.85,0.29,0.5,762.583,0.56
SRS6,2017-04-04,11:10,34.4,23.54,0.44,-9999,1.95,2.23,0.33,0.33,508.75,1.9
SRS1d,2017-04-21,13:30,-9999,126.604,0.46,-9999,5.24,0.25,0.1,-9999,2321.667,0.16
SRS2,2017-04-21,12:00,-9999,330.117,2.15,-9999,142.65,0.52,0.13,0.07,3901.667,0.39
SRS3,2017-04-21,11:20,0.6,137.363,0.14,-9999,40.92,4.98,0.53,-9999,1937.5,4.45
SRS1d,2017-05-04,14:15,-9999,144.726,0.37,-9999,15.86,0.55,0.34,0.07,2429.5,0.21
SRS2,2017-05-04,13:00,-9999,170.88,0.55,-9999,54.47,0.56,0.21,0.06,2649.5,0.35
SRS3,2017-05-04,12:15,0.4,59.813,0.45,-9999,1.86,1.27,0.17,0.04,1380.833,1.09
SRS4,2017-05-10,9:15,16.7,42.27,0.53,-9999,4.63,1.26,0.66,1.11,1174.167,0.6
SRS5,2017-05-10,10:00,22.9,44.163,0.69,-9999,3.46,2.06,0.58,0.73,1150.833,1.48
SRS6,2017-05-10,10:50,30.7,28.312,0.58,-9999,1.7,1.4,0.33,0.33,687.75,1.06
SRS4,2017-06-13,9:35,10.4,43.664,0.73,-9999,3.58,0.57,0.34,0.53,1337.5,0.23
SRS5,2017-06-13,10:05,13.8,38.77,0.85,-9999,2.55,1.9,0.59,0.74,1260,1.31
SRS6,2017-06-13,10:30,23.4,33.639,0.8,-9999,4.04,5.32,0.76,0.82,865.833,4.56
SRS1d,2017-06-19,10:30,0.2,62.067,0.61,-9999,1.97,0.56,0.06,0.01,1336.667,0.51
SRS2,2017-06-19,9:40,0.2,77.325,0.72,-9999,2.46,0.29,0.05,0.03,1570,0.24
SRS3,2017-06-19,8:40,0.2,52.467,0.81,-9999,1.46,0.24,0.05,0.02,1135.833,0.19
SRS4,2017-07-11,9:20,1.9,44.359,0.45,-9999,1.08,0.46,0.14,0.1,1222.25,-9999
SRS5,2017-07-11,10:10,5.4,43.918,0.69,-9999,1.51,1.61,0.25,0.26,1219.25,1.36
SRS6,2017-07-11,10:47,22.9,37.927,0.71,-9999,3.33,1.93,0.58,0.86,854.75,1.34
SRS1d,2017-07-18,13:15,0.2,68.666,0.86,-9999,2.04,0.23,0.1,0.04,1441.417,-9999
SRS2,2017-07-18,10:15,0.2,59.564,0.9,-9999,1.42,0.2,0.09,0.03,1396.25,-9999
SRS3,2017-07-18,9:05,0.2,47.781,0.87,-9999,0.87,0.27,0.09,0.01,1190.083,-9999
SRS4,2017-08-09,9:20,0.4,63.759,0.71,-9999,1.33,0.32,0.11,0.05,1157.333,-9999
SRS5,2017-08-09,10:20,2.1,51.762,0.63,-9999,1.08,1.43,0.18,0.12,1220.333,1.25
SRS6,2017-08-09,10:50,19.3,37.94,0.7,-9999,3.84,1.4,0.59,0.97,929.25,0.81
SRS1d,2017-08-11,12:20,0.2,70.285,0.54,-9999,2.02,0.28,0.13,0.09,1266.833,-9999
SRS2,2017-08-11,10:20,0.1,55.926,0.37,-9999,0.73,0.13,0.08,0.03,984.5,-9999
SRS3,2017-08-11,9:30,0.2,53.249,1,-9999,0.68,0.16,0.08,0.05,1148.083,-9999
SRS1d,2017-09-29,12:50,0.2,61.07,1.32,-9999,2.44,0.67,0.1,-9999,4066.5,-9999
SRS2,2017-09-29,9:50,0.1,36.612,0.4,-9999,0.8,0.11,0.1,-9999,2662.833,-9999
SRS3,2017-09-29,10:40,0.2,36.989,1.27,-9999,0.73,0.24,0.08,-9999,3426.5,-9999
SRS4,2017-10-06,10:00,0.3,36.116,0.59,-9999,1.89,0.36,0.09,0.04,3029.5,-9999
SRS5,2017-10-06,11:00,3.8,47.938,1.26,-9999,2.11,0.75,0.16,0.26,3573.167,-9999
SRS6,2017-10-06,13:00,8.8,42.163,1.43,-9999,3.27,1.22,0.29,0.5,3599.833,0.93
SRS1d,2017-10-10,8:30,0.2,48.197,0.64,-9999,2.45,0.33,0.13,0.05,1111.171,-9999
SRS2,2017-10-10,13:15,0.1,34.003,1.02,-9999,1.06,0.16,0.05,0.01,2643.833,-9999
SRS3,2017-10-10,10:50,0.2,37.797,0.83,-9999,0.63,0.23,0.06,0.03,3319.833,-9999
SRS4,2017-11-01,10:40,0.5,48.223,0.45,-9999,2.25,0.67,0.02,0.05,865.25,-9999
SRS5,2017-11-01,11:40,0.8,41.964,0.59,-9999,1.31,0.74,0.04,0.09,904.917,-9999
SRS6,2017-11-01,12:25,8,46.094,1.07,-9999,4.16,2.84,0.39,0.55,790.583,2.45
SRS1d,2017-11-07,14:06,0.2,47.206,0.4,-9999,0.93,0.19,0.03,0.05,1112.917,-9999
SRS2,2017-11-07,11:00,0.1,34.727,0.29,-9999,0.51,0.14,0,0.03,805.25,-9999
SRS3,2017-11-07,9:10,0.2,37.739,0.34,-9999,0.73,0.26,0.01,0.04,928.25,-9999
SRS1d,2017-12-05,12:20,0.2,39.332,0.4,-9999,1.13,0.29,0.05,0.02,1133.333,-9999
SRS2,2017-12-05,10:45,0.1,31.263,0.48,-9999,0.62,0.31,0.04,0.03,915.833,-9999
SRS3,2017-12-05,9:50,0.2,39.417,0.38,-9999,0.69,3.14,0.08,0.03,1040.833,-9999
SRS4,2017-12-07,10:25,0.3,35.899,0.52,-9999,1.12,0.57,0.04,0.03,1020,-9999
SRS5,2017-12-07,11:10,1.4,38.29,0.63,-9999,0.86,0.97,0.07,0.1,1020,-9999
SRS6,2017-12-07,11:30,14.4,33.296,1.05,-9999,3.75,3.03,0.53,0.91,818.75,2.5
SRS1d,2018-01-09,13:00,0.2,72.535,0.41,-9999,1.66,0.48,0.08,0.03,1448.333,-9999
SRS2,2018-01-09,10:30,0.2,55.062,0.55,-9999,0.67,0.09,0.03,0.03,967.5,-9999
SRS3,2018-01-09,9:20,0.2,60.834,0.55,-9999,0.99,0.46,0.04,0.03,1125.833,-9999
SRS4,2018-01-11,9:50,1,61.494,0.47,-9999,1.97,1.22,0.05,0.01,1172.5,1.17
SRS5,2018-01-11,11:40,10,52.199,0.85,-9999,1.58,0.92,0.32,0.56,1050.833,-9999
SRS6,2018-01-11,11:40,20.7,33.698,0.91,-9999,3.71,1.26,0.51,0.91,710.167,0.75
SRS1d,2018-02-02,12:00,0.3,97.279,0.53,-9999,5.26,0.58,0.1,0.02,1664.167,-9999
SRS2,2018-02-02,10:11,0.2,61.158,0.24,-9999,0.77,0.08,0.05,0.02,1246.667,-9999
SRS3,2018-02-02,9:15,0.2,67.768,0.29,-9999,1.63,0.5,0.07,0.03,1296.667,-9999
SRS4,2018-02-07,10:10,1.7,62.027,0.47,-9999,1.02,0.37,0.09,0.06,1347.5,-9999
SRS5,2018-02-07,12:40,3.7,59.38,0.41,-9999,1.02,0.58,0.1,0.03,1295,-9999
SRS6,2018-02-07,13:15,15.8,51.389,0.97,-9999,0.7,0.07,0.04,0.02,936.667,-9999
SRS1d,2018-03-08,14:10,0.3,86.672,0.26,-9999,3.6,0.45,0.11,0.05,1796.667,-9999
SRS2,2018-03-08,11:10,0.2,67.649,0.3,-9999,2.84,1.36,0.09,0.04,1425.833,-9999
SRS3,2018-03-08,9:20,0.3,62.935,0.25,-9999,1.99,1.1,0.07,0.05,1490.833,-9999
SRS4,2018-03-13,10:00,2.8,41.936,1.64,-9999,4.48,1.07,0.07,0.87,1591.667,-9999
SRS5,2018-03-13,10:50,12.1,50.106,0.84,-9999,0.78,0.19,0.08,0.08,1223.333,-9999
SRS6,2018-03-13,12:45,27.6,33.255,1.05,-9999,0.54,0.51,0.09,0.06,704.75,-9999
SRS1d,2018-04-09,10:30,0.4,125.459,1.85,-9999,4.93,0.19,0.11,0.03,2438.333,0.08
SRS2,2018-04-09,9:30,0.3,89.594,1.38,-9999,7.53,0.3,0.15,0.03,1940.833,0.15
SRS3,2018-04-09,9:00,0.3,78.412,1.33,-9999,3.91,2.21,0.19,0.04,1744.167,2.02
SRS4,2018-04-11,9:40,8.8,55.482,1.98,-9999,0.77,0.37,0.11,0.04,1477.5,0.26
SRS5,2018-04-11,10:30,17.5,51.661,2.41,-9999,0.69,0.14,0.07,0.24,1247.5,0.07
SRS6,2018-04-11,11:20,28.6,34.799,3.21,-9999,0.61,0.44,0.1,0.05,726.167,0.35
SRS4,2018-05-01,9:40,10.1,51.789,0.81,-9999,0.74,0.06,0.06,0.01,1388.333,-9999
SRS5,2018-05-01,10:40,14.7,48.264,0.89,-9999,1.33,0.17,0.07,0.04,1315.833,-9999
SRS6,2018-05-01,11:20,25.6,42.203,1.08,-9999,0.8,0.21,0.08,0.03,930,-9999
SRS1d,2018-05-10,11:30,0.4,175.638,1.14,-9999,33.66,0.27,0.14,0.03,3026.75,-9999
SRS2,2018-05-10,10:10,0.4,158.203,1.26,-9999,7.05,0.11,0.1,0.03,2796.75,-9999
SRS3,2018-05-10,9:10,0.5,117.334,1.34,-9999,37.71,0.33,0.13,0.04,1881.667,-9999
SRS1d,2018-06-04,12:50,0.2,66.23,0.7,-9999,2.32,0.31,0.14,-9999,1425,0.17
SRS2,2018-06-04,10:45,0.2,49.375,0.41,-9999,0.84,0.14,0.13,0.01,1404.167,0.01
SRS3,2018-06-04,9:50,0.2,50.49,0.36,-9999,0.72,0.25,0.12,0,1261.667,0.14
SRS4,2018-06-05,9:50,1.7,48.152,0.55,-9999,0.63,0.54,0.12,0.02,1254.167,0.42
SRS5,2018-06-05,10:20,14.1,41.181,1.22,-9999,0.53,0.95,0.22,0.07,1080.833,0.73
SRS6,2018-06-05,10:36,22.6,39.904,1.42,-9999,8.71,1.33,0.62,0.86,868.333,0.72
SRS4,2018-07-03,9:40,0.6,37.924,0.88,-9999,0.77,0.61,0.14,-9999,503.25,-9999
SRS5,2018-07-03,10:15,5.2,44.638,0.82,-9999,1.48,2.43,0.31,0.23,546.167,2.11
SRS6,2018-07-03,11:00,16.9,39.052,0.93,-9999,3.36,2.62,0.34,0.17,469.417,2.28
SRS1d,2018-07-12,12:25,0.2,53.664,0.54,-9999,1.03,0.16,0.15,0.04,743.333,-9999
SRS2,2018-07-12,12:25,0.2,46.373,0.84,-9999,0.69,0.11,0.13,0.02,651.583,-9999
SRS3,2018-07-12,9:15,0.2,38.835,0.67,-9999,0.52,0.14,0.15,0,480.167,-9999
